title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; ISTENT INJECT TRABECULAR MICRO-BYPASS SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for ISTENT INJECT TRABECULAR MICRO-BYPASS SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of patents which claim that medical device.",85 FR 42863,2020-15295,https://www.federalregister.gov/documents/2020/07/15/2020-15295/determination-of-regulatory-review-period-for-purposes-of-patent-extension-istent-inject-trabecular,https://www.govinfo.gov/content/pkg/FR-2020-07-15/pdf/2020-15295.pdf,2020-07-15, ISTENT INJECT TRABECULAR MICRO-BYPASS SYSTEM,,Nicolas,ISTENT INJECT TRABECULAR MICRO-BYPASS SYSTEM,7867186; 9301875; and 9597230,Glaukos Corporation,2508.0,2330,178.0,"September 14, 2020","August 11, 2011","June 21, 2018",PMA 170043,1783
Determination of Regulatory Review Period for Purposes of Patent Extension; OXERVATE,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for OXERVATE and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",85 FR 51446,2020-18239,https://www.federalregister.gov/documents/2020/08/20/2020-18239/determination-of-regulatory-review-period-for-purposes-of-patent-extension-oxervate,https://www.govinfo.gov/content/pkg/FR-2020-08-20/pdf/2020-18239.pdf,2020-08-20, OXERVATE,,Nicolas,OXERVATE,8501439,Dompe Farmaceutici S.p.A.,1484.0,1240,244.0,"October 19, 2020","August 1, 2014","August 22, 2018",BLA 761094,863
Determination of Regulatory Review Period for Purposes of Patent Extension; VYLEESI,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for VYLEESI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",85 FR 51448,2020-18240,https://www.federalregister.gov/documents/2020/08/20/2020-18240/determination-of-regulatory-review-period-for-purposes-of-patent-extension-vyleesi,https://www.govinfo.gov/content/pkg/FR-2020-08-20/pdf/2020-18240.pdf,2020-08-20, VYLEESI,,Nicolas,VYLEESI,6579968 and 6794489,"Palatin Technologies, Inc.",6721.0,6265,456.0,"October 19, 2020","January 27, 2001","June 21, 2019",NDA 210557,1826
Determination of Regulatory Review Period for Purposes of Patent Extension; POTELIGEO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for POTELIGEO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",85 FR 53823,2020-19036,https://www.federalregister.gov/documents/2020/08/31/2020-19036/determination-of-regulatory-review-period-for-purposes-of-patent-extension-poteligeo,https://www.govinfo.gov/content/pkg/FR-2020-08-31/pdf/2020-19036.pdf,2020-08-31, POTELIGEO,,Nicolas,POTELIGEO,6989145 and 7504104,Kyowa Hakko Kirin,3536.0,3227,309.0,"October 30, 2020","December 4, 2008","August 8, 2018",BLA 761051,1826
Determination of Regulatory Review Period for Purposes of Patent Extension; ELZONRIS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for ELZONRIS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",85 FR 53824,2020-19085,https://www.federalregister.gov/documents/2020/08/31/2020-19085/determination-of-regulatory-review-period-for-purposes-of-patent-extension-elzonris,https://www.govinfo.gov/content/pkg/FR-2020-08-31/pdf/2020-19085.pdf,2020-08-31, ELZONRIS,,Nicolas,ELZONRIS,9181317 and 9631006,Scott & White Memorial Hospital,5541.0,5357,184.0,"October 30, 2020","October 22, 2003","December 21, 2018",BLA 761116,394
Determination of Regulatory Review Period for Purposes of Patent Extension; LUMOXITI,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for LUMOXITI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of patents which claims that human biological product.",85 FR 54388,2020-19214,https://www.federalregister.gov/documents/2020/09/01/2020-19214/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lumoxiti,https://www.govinfo.gov/content/pkg/FR-2020-09-01/pdf/2020-19214.pdf,2020-09-01, LUMOXITI,,Nicolas,LUMOXITI,8809502; 9580461; and 10072083,the U.S. Department of Health,4320.0,4092,228.0,"November 2, 2020","November 17, 2006","September 13, 2018",BLA 761104,2
Determination of Regulatory Review Period for Purposes of Patent Extension; EVERSENSE CONTINUOUS GLUCOSE MONITORING SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for EVERSENSE CONTINUOUS GLUCOSE MONITORING SYSTEM (EVERSENSE CGM SYSTEM) and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",85 FR 56229,2020-20040,https://www.federalregister.gov/documents/2020/09/11/2020-20040/determination-of-regulatory-review-period-for-purposes-of-patent-extension-eversense-continuous,https://www.govinfo.gov/content/pkg/FR-2020-09-11/pdf/2020-20040.pdf,2020-09-11, EVERSENSE CONTINUOUS GLUCOSE MONITORING SYSTEM,,Nicolas,EVERSENSE CGM SYSTEM,6400974,"Senseonics, Inc.",90.0,3727,3123.0,"November 10, 2020","November 10, 2020","June 21, 2018",PMA P160048,5
Determination of Regulatory Review Period for Purposes of Patent Extension; TAKHZYRO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for TAKHZYRO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",85 FR 56622,2020-20104,https://www.federalregister.gov/documents/2020/09/14/2020-20104/determination-of-regulatory-review-period-for-purposes-of-patent-extension-takhzyro,https://www.govinfo.gov/content/pkg/FR-2020-09-14/pdf/2020-20104.pdf,2020-09-14, TAKHZYRO,,Nicolas,TAKHZYRO,8816055,Dyax Corp.,1857.0,1616,241.0,"November 13, 2020","July 25, 2013","August 23, 2018",BLA 761090,849
Determination of Regulatory Review Period for Purposes of Patent Extension; OCS LUNG SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) has determined the regulatory review period for OCS LUNG SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",86 FR 14455,2021-05372,https://www.federalregister.gov/documents/2021/03/16/2021-05372/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ocs-lung-system,https://www.govinfo.gov/content/pkg/FR-2021-03-16/pdf/2021-05372.pdf,2021-03-16, OCS LUNG SYSTEM,,Nicolas,OCS LUNG SYSTEM,6100082,"TransMedics, Inc.",2341.0,1672,669.0,"September 13, 2021","September 13, 2021","March 22, 2018",PMA P160013,1687
Determination of Regulatory Review Period for Purposes of Patent Extension; HINTERMANN SERIES H3 TOTAL ANKLE REPLACEMENT SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for HINTERMANN SERIES H3 TOTAL ANKLE REPLACEMENT SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",86 FR 14445,2021-05371,https://www.federalregister.gov/documents/2021/03/16/2021-05371/determination-of-regulatory-review-period-for-purposes-of-patent-extension-hintermann-series-h3,https://www.govinfo.gov/content/pkg/FR-2021-03-16/pdf/2021-05371.pdf,2021-03-16, HINTERMANN SERIES H3 TOTAL ANKLE REPLACEMENT SYSTEM,,Nicolas,HINTERMANN SERIES H3 TOTAL ANKLE REPLACEMENT SYSTEM,6409767,European Foot Platform,4676.0,3661,1015.0,"September 13, 2021","August 17, 2006","June 4, 2019",PMA 160036,1825
Determination of Regulatory Review Period for Purposes of Patent Extension; BAROSTIM NEO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for BAROSTIM NEO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",86 FR 15950,2021-06210,https://www.federalregister.gov/documents/2021/03/25/2021-06210/determination-of-regulatory-review-period-for-purposes-of-patent-extension-barostim-neo,https://www.govinfo.gov/content/pkg/FR-2021-03-25/pdf/2021-06210.pdf,2021-03-25, BAROSTIM NEO,,Nicolas,BAROSTIM NEO,8606359; 9044609; and 9427583,"CVRx, Inc.",2550.0,2310,240.0,"September 21, 2021","September 21, 2021","August 16, 2019",PMA 180050,1038
Determination of Regulatory Review Period for Purposes of Patent Extension; IBSRELA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for IBSRELA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 17157,2021-06693,https://www.federalregister.gov/documents/2021/04/01/2021-06693/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ibsrela,https://www.govinfo.gov/content/pkg/FR-2021-04-01/pdf/2021-06693.pdf,2021-04-01, IBSRELA,,Nicolas,IBSRELA,8541448,"Ardelyx, Inc.",3219.0,2853,366.0,"September 28, 2021","November 21, 2010","September 12, 2019",NDA 211801,1272
Determination of Regulatory Review Period for Purposes of Patent Extension; TPOXX,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) has determined the regulatory review period for TPOXX and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 17160,2021-06696,https://www.federalregister.gov/documents/2021/04/01/2021-06696/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tpoxx,https://www.govinfo.gov/content/pkg/FR-2021-04-01/pdf/2021-06696.pdf,2021-04-01, TPOXX,,Nicolas,TPOXX,7737168 and 8124643,"SIGA Technologies, Inc.",4601.0,4383,218.0,"September 28, 2021","December 9, 2005","July 13, 2018",NDA 208627,1585
Determination of Regulatory Review Period for Purposes of Patent Extension; BIOMIMICS 3D VASCULAR STENT SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for BIOMIMICS 3D VASCULAR STENT SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",86 FR 17167,2021-06709,https://www.federalregister.gov/documents/2021/04/01/2021-06709/determination-of-regulatory-review-period-for-purposes-of-patent-extension-biomimics-3d-vascular,https://www.govinfo.gov/content/pkg/FR-2021-04-01/pdf/2021-06709.pdf,2021-04-01, BIOMIMICS 3D VASCULAR STENT SYSTEM,,Nicolas,BIOMIMICS 3D VASCULAR STENT SYSTEM,9314353,Veryan Medical Limited,1234.0,973,261.0,"September 28, 2021","September 28, 2021","October 4, 2018",PMA 180003,580
Determination of Regulatory Review Period for Purposes of Patent Extension; OPTIMIZER,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for OPTIMIZER and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",86 FR 30957,2021-12192,https://www.federalregister.gov/documents/2021/06/10/2021-12192/determination-of-regulatory-review-period-for-purposes-of-patent-extension-optimizer,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12192.pdf,2021-06-10, OPTIMIZER,,Nicolas,OPTIMIZER,8260416 and 8311629,Impulse Dynamics N.V.,5434.0,5236,198.0,"December 7, 2021","May 6, 2004","March 21, 2019",PMA 180036,1293
Determination of Regulatory Review Period for Purposes of Patent Extension; WAKIX,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) has determined the regulatory review period for WAKIX and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 30947,2021-12148,https://www.federalregister.gov/documents/2021/06/10/2021-12148/determination-of-regulatory-review-period-for-purposes-of-patent-extension-wakix,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12148.pdf,2021-06-10, WAKIX,,Nicolas,WAKIX,8207197 and 8486947,Bioprojet,505.0,261,244.0,"December 7, 2021","March 29, 2018","August 14, 2019",NDA 211150,389
Determination of Regulatory Review Period for Purposes of Patent Extension; SARCLISA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for SARCLISA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",86 FR 30950,2021-12189,https://www.federalregister.gov/documents/2021/06/10/2021-12189/determination-of-regulatory-review-period-for-purposes-of-patent-extension-sarclisa,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12189.pdf,2021-06-10, SARCLISA,,Nicolas,SARCLISA,8153765 and 10342869,SANOFI,3718.0,3410,308.0,"December 7, 2021","December 29, 2009","March 2, 2020",BLA 761113,1596
Determination of Regulatory Review Period for Purposes of Patent Extension; SPRAVATO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for SPRAVATO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 30955,2021-12193,https://www.federalregister.gov/documents/2021/06/10/2021-12193/determination-of-regulatory-review-period-for-purposes-of-patent-extension-spravato,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12193.pdf,2021-06-10, SPRAVATO,,Nicolas,SPRAVATO,8785500 and 9592207,"Icahn School of Medicine at Mt. Sinai, Yale University",2456.0,2273,183.0,"December 7, 2021","June 15, 2012","March 5, 2019",NDA 211243,596
Determination of Regulatory Review Period for Purposes of Patent Extension; EVENITY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for EVENITY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",86 FR 30942,2021-12199,https://www.federalregister.gov/documents/2021/06/10/2021-12199/determination-of-regulatory-review-period-for-purposes-of-patent-extension-evenity,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12199.pdf,2021-06-10, EVENITY,,Nicolas,EVENITY,7592429; 8017120; and 8440193,Amgen Inc.,4519.0,3524,995.0,"December 7, 2021","November 26, 2006","April 9, 2019",BLA 761062,1827
Determination of Regulatory Review Period for Purposes of Patent Extension; XPOVIO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for XPOVIO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 30945,2021-12167,https://www.federalregister.gov/documents/2021/06/10/2021-12167/determination-of-regulatory-review-period-for-purposes-of-patent-extension-xpovio,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12167.pdf,2021-06-10, XPOVIO,,Nicolas,XPOVIO,8999996,Karyopharm Therapeutics Inc.,2585.0,2253,332.0,"December 7, 2021","June 6, 2012","July 3, 2019",NDA 212306,291
Determination of Regulatory Review Period for Purposes of Patent Extension; MAYZENT,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for MAYZENT and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 30949,2021-12171,https://www.federalregister.gov/documents/2021/06/10/2021-12171/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mayzent,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12171.pdf,2021-06-10, MAYZENT,,Nicolas,MAYZENT,7939519 and 8492441,Novartis AG,4544.0,4299,245.0,"December 7, 2021","October 19, 2006","March 26, 2019",NDA 209884,848
Determination of Regulatory Review Period for Purposes of Patent Extension; BRAVECTO; Correction,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) published a notice in the Federal Register of February 12, 2018. After review of a timely request for reconsideration by the applicant of the determination of the regulatory review period of the animal drug, BRAVECTO, in that notice, FDA has determined that a revision of the SUPPLEMENTARY INFORMATION section is warranted. This document presents the revised regulatory review period.",86 FR 31318,2021-12284,https://www.federalregister.gov/documents/2021/06/11/2021-12284/determination-of-regulatory-review-period-for-purposes-of-patent-extension-bravecto-correction,https://www.govinfo.gov/content/pkg/FR-2021-06-11/pdf/2021-12284.pdf,2021-06-11, BRAVECTO, Correction,Nicolas,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; GIVLAARI,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for GIVLAARI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 32936,2021-13176,https://www.federalregister.gov/documents/2021/06/23/2021-13176/determination-of-regulatory-review-period-for-purposes-of-patent-extension-givlaari,https://www.govinfo.gov/content/pkg/FR-2021-06-23/pdf/2021-13176.pdf,2021-06-23, GIVLAARI,,Nicolas,GIVLAARI,9133461,"Alnylam Pharmaceuticals, Inc.",1533.0,1363,170.0,"December 20, 2021","September 11, 2015","November 20, 2019",NDA 212194,190
Determination of Regulatory Review Period for Purposes of Patent Extension; TURALIO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for TURALIO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 32950,2021-13186,https://www.federalregister.gov/documents/2021/06/23/2021-13186/determination-of-regulatory-review-period-for-purposes-of-patent-extension-turalio,https://www.govinfo.gov/content/pkg/FR-2021-06-23/pdf/2021-13186.pdf,2021-06-23, TURALIO,,Nicolas,TURALIO,7893075; 8461169; and 9169250,Plexxikon Inc.,3637.0,3394,243.0,"December 20, 2021","August 19, 2009","August 2, 2019",NDA 211810,810
Determination of Regulatory Review Period for Purposes of Patent Extension; ZOLGENSMA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for ZOLGENSMA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",86 FR 33307,2021-13411,https://www.federalregister.gov/documents/2021/06/24/2021-13411/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zolgensma,https://www.govinfo.gov/content/pkg/FR-2021-06-24/pdf/2021-13411.pdf,2021-06-24, ZOLGENSMA,,Nicolas,ZOLGENSMA,7906111,"REGENXBIO, Inc.",2088.0,1852,236.0,"December 21, 2021","September 6, 2013","May 24, 2019",BLA 125694,1162
Determination of Regulatory Review Period for Purposes of Patent Extension; TAZVERIK,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for TAZVERIK and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 34022,2021-13743,https://www.federalregister.gov/documents/2021/06/28/2021-13743/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tazverik,https://www.govinfo.gov/content/pkg/FR-2021-06-28/pdf/2021-13743.pdf,2021-06-28, TAZVERIK,,Nicolas,TAZVERIK,8410088,"Epizyme, Inc.",1618.0,1372,246.0,"December 27, 2021","August 21, 2015","January 23, 2020",NDA 211723,650
Determination of Regulatory Review Period for Purposes of Patent Extension; GORE CARDIOFORM ASD OCCLUDER,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) has determined the regulatory review period for GORE CARDIOFORM ASD OCCLUDER and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",86 FR 34023,2021-13687,https://www.federalregister.gov/documents/2021/06/28/2021-13687/determination-of-regulatory-review-period-for-purposes-of-patent-extension-gore-cardioform-asd,https://www.govinfo.gov/content/pkg/FR-2021-06-28/pdf/2021-13687.pdf,2021-06-28, GORE CARDIOFORM ASD OCCLUDER,,Nicolas,GORE CARDIOFORM ASD OCCLUDER,9474517,"W.L. Gore & Associates, Inc.",931.0,751,556.0,"December 27, 2021","November 10, 2016","May 28, 2019",PMA 050006,556
"Determination of Regulatory Review Period for Purposes of Patent Extension; Smallpox and Monkeypox Vaccine, Live",Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for Smallpox and Monkeypox Vaccine, Live and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",86 FR 34018,2021-13686,https://www.federalregister.gov/documents/2021/06/28/2021-13686/determination-of-regulatory-review-period-for-purposes-of-patent-extension-smallpox-and-monkeypox,https://www.govinfo.gov/content/pkg/FR-2021-06-28/pdf/2021-13686.pdf,2021-06-28," Smallpox and Monkeypox Vaccine, Live",,Nicolas,"Smallpox and Monkeypox Vaccine, Live",7335364,Bavarian Nordic A/S,5650.0,5315,335.0,"December 27, 2021","April 7, 2004","September 24, 2019",BLA 125678,1825
Determination of Regulatory Review Period for Purposes of Patent Extension; OXBRYTA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for OXBRYTA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 34767,2021-13976,https://www.federalregister.gov/documents/2021/06/30/2021-13976/determination-of-regulatory-review-period-for-purposes-of-patent-extension-oxbryta,https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-13976.pdf,2021-06-30, OXBRYTA,,Nicolas,OXBRYTA,9018210 10017491 and 10034879,"Global Blood Therapeutics, Inc.",1847.0,1694,153.0,"December 27, 2021","November 6, 2014","November 25, 2019",NDA 213137,332
Determination of Regulatory Review Period for Purposes of Patent Extension; FETROJA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for FETROJA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 34762,2021-13971,https://www.federalregister.gov/documents/2021/06/30/2021-13971/determination-of-regulatory-review-period-for-purposes-of-patent-extension-fetroja,https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-13971.pdf,2021-06-30, FETROJA,,Nicolas,FETROJA,9238657,"Shionogi & Co., Ltd.",2400.0,2064,336.0,"December 27, 2021","April 21, 2013","November 14, 2019",NDA 209445,726
Determination of Regulatory Review Period for Purposes of Patent Extension; BALVERSA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for BALVERSA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",86 FR 34764,2021-13973,https://www.federalregister.gov/documents/2021/06/30/2021-13973/determination-of-regulatory-review-period-for-purposes-of-patent-extension-balversa,https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-13973.pdf,2021-06-30, BALVERSA,,Nicolas,BALVERSA,8895601,Astex Therapeutics Ltd.,2179.0,1972,207.0,"December 27, 2021","April 26, 2013","April 12, 2019",NDA 212018,691
Determination of Regulatory Review Period for Purposes of Patent Extension; POLIVY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for POLIVY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of patents which claims that human biological product.",86 FR 34768,2021-13949,https://www.federalregister.gov/documents/2021/06/30/2021-13949/determination-of-regulatory-review-period-for-purposes-of-patent-extension-polivy,https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-13949.pdf,2021-06-30, POLIVY,,Nicolas,POLIVY,8088378; 8545850; and 8691531,"Genentech, Inc.",3050.0,2876,174.0,"December 27, 2021","February 4, 2011","June 10, 2019",BLA 761121,1445
Determination of Regulatory Review Period for Purposes of Patent Extension; AXONICS SACRAL NEUROMODULATION SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for AXONICS SACRAL NEUROMODULATION SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",86 FR 34757,2021-13972,https://www.federalregister.gov/documents/2021/06/30/2021-13972/determination-of-regulatory-review-period-for-purposes-of-patent-extension-axonics-sacral,https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-13972.pdf,2021-06-30, AXONICS SACRAL NEUROMODULATION SYSTEM,,Nicolas,AXONICS SACRAL NEUROMODULATION SYSTEM,7331499,Alfred E. Mann Foundation for Scientific[[Page 34759]]Research,681.0,494,187.0,"December 27, 2021","October 27, 2017","September 6, 2019",PMA 190006,434
